,timestamp,macaddr,FullSuccess_count,successful_rates
65,2022-10-26 11:54:28.516877946,9c:b6:d0:89:32:89,1,215.0
66,2022-10-26 11:54:28.517131285,9c:b6:d0:89:32:89,1,215.0
67,2022-10-26 11:54:28.535091766,9c:b6:d0:89:32:89,1,215.0
68,2022-10-26 11:54:28.784776399,9c:b6:d0:89:32:89,1,215.0
69,2022-10-26 11:54:28.793002859,9c:b6:d0:89:32:89,1,215.0
70,2022-10-26 11:54:28.793530674,9c:b6:d0:89:32:89,1,215.0
71,2022-10-26 11:54:28.793777613,9c:b6:d0:89:32:89,1,215.0
72,2022-10-26 11:54:28.795999357,9c:b6:d0:89:32:89,1,215.0
73,2022-10-26 11:54:28.796246795,9c:b6:d0:89:32:89,1,215.0
74,2022-10-26 11:54:28.796427952,9c:b6:d0:89:32:89,1,215.0
75,2022-10-26 11:54:28.796598793,9c:b6:d0:89:32:89,1,215.0
76,2022-10-26 11:54:28.798214702,9c:b6:d0:89:32:89,1,215.0
77,2022-10-26 11:54:28.798234664,9c:b6:d0:89:32:89,1,215.0
